Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.202020202020202,1783.399304875741,29.45109434022936,"(191.24655422024935, 191.2465542202496, 191.24655422024995, 301.37226414942893, 301.372264149429, 301.3722641494244, 106.1542479501708, 106.15424795017073, 106.15424795016976)","(187.46004511959094, 188.78024396852507, 190.20913165609133, 300.2536059708245, 299.9764513808786, 300.2384812837099, 105.1937093300964, 105.48563031305048, 105.54491632496412)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2121212121212121,1783.399304875741,29.59309847535299,"(191.71056360915298, 191.71056360915335, 191.71056360915355, 301.0172538116199, 301.01725381161987, 301.017253811615, 106.0959771379864, 106.09597713798645, 106.09597713798655)","(187.90151316663275, 189.22839354256013, 190.66944721762525, 299.8939754706675, 299.61649542176195, 299.87938281903956, 105.13178041260082, 105.42498750367726, 105.48435064137549)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2222222222222222,1783.399304875741,29.76251611143713,"(192.12844089442757, 192.12844089442785, 192.12844089442825, 300.5937097214095, 300.59370972140954, 300.59370972140476, 106.02644786045235, 106.02644786045252, 106.02644786045269)","(188.2924975670694, 189.62734932008098, 191.0829175924918, 299.4649193086949, 299.1870509718884, 299.45096140051635, 105.05788684276057, 105.35262832153389, 105.41208347393238)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2323232323232323,1783.399304875741,29.88190682184003,"(192.65088589747822, 192.65088589747887, 192.6508858974795, 300.29523294540235, 300.29523294540223, 300.2952329453974, 105.97752104244827, 105.97736826428961, 105.97735735213703)","(188.79599082046872, 190.13646010182651, 191.60232974527636, 299.1625581073193, 298.8844161392106, 299.1490475107255, 105.00588445381308, 105.30155445647722, 105.361063540624)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2424242424242424,1783.399304875741,30.05323748694093,"(193.08098960806592, 193.08098960806655, 193.08098960806706, 299.8669062826502, 299.8669062826497, 299.8669062826456, 105.90711136004232, 105.90711136004245, 105.90711136004246)","(189.19889797730758, 190.54742864689618, 192.028196863492, 298.72865713162713, 298.4501224911501, 298.715788445875, 104.93106119841204, 105.22843569292124, 105.28804874293182)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2525252525252525,1783.399304875741,30.20877983546813,"(193.54924980240753, 193.54924980240824, 193.5492498024086, 299.4780504113316, 299.4780504113322, 299.4780504113276, 105.84361846693491, 105.84309657330283, 105.8429894130088)","(189.6424678114066, 190.99856315316572, 192.49261087229, 298.33474062667585, 298.05584949903937, 298.3224546989481, 104.86356144810456, 105.16182277047842, 105.22141313890036)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2626262626262626,1783.399304875741,30.343574072216686,"(194.0636134527314, 194.0636134527325, 194.06361345273186, 299.14106481946055, 299.1410648194606, 299.1410648194561, 105.78791679246451, 105.78791369118859, 105.78784843075908)","(190.13543459910454, 191.49818975241487, 193.00364138762046, 297.9933694494357, 297.7141693871891, 297.9815885444474, 104.80442963073904, 105.10438832329268, 105.1640938014974)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2727272727272727,1783.399304875741,30.50163452723616,"(194.5424826777522, 194.54248267775273, 194.54248267775256, 298.7459136819116, 298.745913681912, 298.74591368190767, 105.72311337797639, 105.72292499942222, 105.72299456627567)","(190.58921374665454, 191.95977823120467, 193.4786021604231, 297.5930757506342, 297.3135134299847, 297.58188703805746, 104.73570945676737, 105.03675943407953, 105.09668558591541)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2828282828282829,1783.399304875741,30.647514416405045,"(195.051173647354, 195.0511736473554, 195.0511736473547, 297.936750142018, 298.4787290755811, 298.5546883091753, 105.66304550554632, 105.66308500672963, 105.6630861895329)","(191.07526867853608, 192.45252015558574, 193.98368587369836, 296.77916594915695, 297.04127318967, 297.3864619602047, 104.67202666092527, 104.974482704691, 105.03441970327333)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2929292929292929,1783.399304875741,30.81987530899405,"(195.52042243359614, 195.5204224335967, 195.52042243359642, 297.9503117275172, 297.95031172751715, 297.95031172751254, 105.59237990472113, 105.59213219836452, 105.59230839083597)","(191.51779449973083, 192.90292472905725, 194.4486725925377, 296.78711970284536, 296.50707282201563, 296.7771233174431, 104.59708993383668, 104.90065082838647, 104.96085644988894)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.303030303030303,1783.399304875741,30.981993547025446,"(196.016223365031, 196.0162233650318, 196.01622336503152, 297.5450161324384, 297.5450161324388, 297.5450161324344, 105.52578167596005, 105.52556338235462, 105.52555388456642)","(191.98846049514054, 193.38100127693036, 194.94046473260912, 296.37654952489174, 296.09633786692683, 296.36716053487095, 104.5264743931794, 104.83137403486205, 104.89148201633043)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.3131313131313131,1783.399304875741,31.14583912781109,"(196.51724594214207, 196.51724594214275, 196.5172459421432, 297.13540218047433, 297.13540218047467, 297.1354021804703, 105.45834695585965, 105.45833754697772, 105.45834584962684)","(192.4640803276804, 193.86411062013227, 195.43743580535454, 295.96160479025315, 295.6812265994797, 295.9528296673094, 104.45497955739542, 104.76141136892241, 104.8216261392141)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.3232323232323232,1783.399304875741,31.31141794066958,"(197.02361105997775, 197.02361105997846, 197.0236110599787, 296.72145514832823, 296.7214551483284, 296.7214551483239, 105.39023361621535, 105.3903195663099, 105.39034562572374)","(192.9447739793143, 194.35237300983277, 195.93970656019263, 295.5422705840214, 295.2617240987806, 295.5341158219159, 104.38276315234201, 104.6906276062701, 104.75095006307161)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.3333333333333333,1783.399304875741,31.478770510179498,"(197.53538248303346, 197.5353824830343, 197.5353824830349, 296.3030737245537, 296.3030737245535, 296.3030737245487, 105.32146218756598, 105.3215429323651, 105.32148932429487)","(193.4305989315759, 194.84584777997594, 196.44733975954566, 295.1184442762665, 294.83772769371, 295.11105692386684, 104.30984470435345, 104.6190555620079, 104.67938924443935)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.3434343434343435,1783.399304875741,31.647933048036144,"(198.052635148425, 198.05263514842568, 198.0526351484261, 295.8801673799124, 295.8801673799116, 295.8801673799073, 105.25200907263986, 105.25175998842855, 105.25207234724361)","(193.921624507292, 195.3446701037124, 196.96040944510034, 294.6901066485327, 294.40914564006187, 294.68346333764555, 104.23619971882736, 104.54644697455105, 104.60723850001814)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
